publisher,metric,count
American Mathematical Society,FsF-A1-03D,8
American Mathematical Society,FsF-R1.1-01M,8
American Mathematical Society,FsF-R1.3-02D,8
Springer Milan,FsF-F3-01M,1
Springer Milan,FsF-A1-03D,1
Springer Milan,FsF-R1.3-02D,1
BioMed Central,FsF-F3-01M,401
BioMed Central,FsF-A1-03D,401
BioMed Central,FsF-R1.3-02D,401
BioMed Central,FsF-R1.1-01M,26
American Society for Microbiology,FsF-F3-01M,161
American Society for Microbiology,FsF-F4-01M,28
American Society for Microbiology,FsF-A1-01M,34
American Society for Microbiology,FsF-A1-03D,161
American Society for Microbiology,FsF-R1-01MD,28
American Society for Microbiology,FsF-R1.1-01M,161
American Society for Microbiology,FsF-R1.3-02D,161
De Gruyter,FsF-F3-01M,158
De Gruyter,FsF-A1-03D,158
De Gruyter,FsF-I3-01M,82
De Gruyter,FsF-R1.1-01M,158
De Gruyter,FsF-R1.3-02D,158
ACM Transactions on Programming Languages and Systems,FsF-F3-01M,2
ACM Transactions on Programming Languages and Systems,FsF-A1-01M,2
ACM Transactions on Programming Languages and Systems,FsF-A1-03D,2
ACM Transactions on Programming Languages and Systems,FsF-R1.1-01M,2
ACM Transactions on Programming Languages and Systems,FsF-R1.3-02D,2
Frontiers,FsF-F3-01M,86
Frontiers,FsF-A1-01M,86
Frontiers,FsF-A1-03D,86
Frontiers,FsF-I3-01M,40
Frontiers,FsF-R1.1-01M,86
Frontiers,FsF-R1.3-02D,86
"Springer, Berlin, Heidelberg",FsF-F3-01M,56
"Springer, Berlin, Heidelberg",FsF-A1-01M,55
"Springer, Berlin, Heidelberg",FsF-A1-03D,56
"Springer, Berlin, Heidelberg",FsF-R1.1-01M,56
"Springer, Berlin, Heidelberg",FsF-R1.3-02D,56
Federation of American Societies for Experimental Biology,FsF-F3-01M,13
Federation of American Societies for Experimental Biology,FsF-A1-01M,13
Federation of American Societies for Experimental Biology,FsF-A1-03D,13
Federation of American Societies for Experimental Biology,FsF-R1.1-01M,13
Federation of American Societies for Experimental Biology,FsF-R1.3-02D,13
Federation of American Societies for Experimental Biology,FsF-I3-01M,6
American Cancer Society Journals,FsF-F3-01M,14
American Cancer Society Journals,FsF-A1-01M,14
American Cancer Society Journals,FsF-A1-03D,14
American Cancer Society Journals,FsF-I3-01M,12
American Cancer Society Journals,FsF-R1.1-01M,14
American Cancer Society Journals,FsF-R1.3-02D,14
American Cancer Society Journals,FsF-I1-01M,7
American Cancer Society Journals,FsF-I2-01M,7
besjournals,FsF-F3-01M,7
besjournals,FsF-A1-01M,7
besjournals,FsF-A1-03D,7
besjournals,FsF-R1.1-01M,7
besjournals,FsF-R1.3-02D,7
besjournals,FsF-I3-01M,2
Royal Society of Chemistry (RSC),FsF-F3-01M,162
Royal Society of Chemistry (RSC),FsF-A1-03D,162
Royal Society of Chemistry (RSC),FsF-R1.1-01M,162
Royal Society of Chemistry (RSC),FsF-R1.3-02D,162
The Advanced Portfolio,FsF-F3-01M,46
The Advanced Portfolio,FsF-A1-01M,46
The Advanced Portfolio,FsF-A1-03D,46
The Advanced Portfolio,FsF-I3-01M,33
The Advanced Portfolio,FsF-R1.1-01M,46
The Advanced Portfolio,FsF-R1.3-02D,46
The Advanced Portfolio,FsF-I1-01M,2
The Advanced Portfolio,FsF-I2-01M,2
The Company of Biologists,FsF-F3-01M,158
The Company of Biologists,FsF-A1-01M,158
The Company of Biologists,FsF-A1-03D,158
The Company of Biologists,FsF-R1.1-01M,158
The Company of Biologists,FsF-R1.3-02D,158
The Company of Biologists,FsF-F4-01M,2
The Company of Biologists,FsF-R1-01MD,2
"SAGE PublicationsSage UK: London, England",FsF-F3-01M,50
"SAGE PublicationsSage UK: London, England",FsF-A1-03D,50
"SAGE PublicationsSage UK: London, England",FsF-R1.1-01M,45
"SAGE PublicationsSage UK: London, England",FsF-R1.3-02D,50
"SAGE PublicationsSage UK: London, England",FsF-A1-01M,1
Kluwer Academic Publishers,FsF-F3-01M,60
Kluwer Academic Publishers,FsF-A1-03D,60
Kluwer Academic Publishers,FsF-R1.1-01M,60
Kluwer Academic Publishers,FsF-R1.3-02D,60
