publisher,metric,count
Cold Spring Harbor Laboratory Press,FsF-A1-03D,22
Cold Spring Harbor Laboratory Press,FsF-R1.1-01M,22
Cold Spring Harbor Laboratory Press,FsF-R1.3-02D,22
medRxiv,FsF-F3-01M,11
medRxiv,FsF-A1-03D,11
medRxiv,FsF-R1.1-01M,11
medRxiv,FsF-R1.3-02D,11
Aging and disease,FsF-F3-01M,1
Aging and disease,FsF-A1-01M,1
Aging and disease,FsF-A1-03D,1
Aging and disease,FsF-R1.1-01M,1
Aging and disease,FsF-R1.3-02D,1
Westerdijk Fungal Biodiversity Institute,FsF-F3-01M,2
Westerdijk Fungal Biodiversity Institute,FsF-A1-01M,2
Westerdijk Fungal Biodiversity Institute,FsF-A1-03D,2
Westerdijk Fungal Biodiversity Institute,FsF-R1.1-01M,2
Westerdijk Fungal Biodiversity Institute,FsF-R1.3-02D,2
OSA,FsF-F3-01M,2
OSA,FsF-A1-03D,2
OSA,FsF-R1.1-01M,2
OSA,FsF-R1.3-02D,2
American Association of Immunologists,FsF-F3-01M,26
American Association of Immunologists,FsF-A1-01M,26
American Association of Immunologists,FsF-A1-03D,26
American Association of Immunologists,FsF-R1.1-01M,26
American Association of Immunologists,FsF-R1.3-02D,26
Scientific Research Publishing,FsF-F3-01M,2
Scientific Research Publishing,FsF-A1-03D,2
Scientific Research Publishing,FsF-R1.1-01M,2
Scientific Research Publishing,FsF-R1.3-02D,2
SCIRP,FsF-F3-01M,1
SCIRP,FsF-A1-03D,1
SCIRP,FsF-R1.1-01M,1
SCIRP,FsF-R1.3-02D,1
International Union of Crystallography,FsF-F3-01M,4
International Union of Crystallography,FsF-A1-01M,2
International Union of Crystallography,FsF-A1-03D,4
International Union of Crystallography,FsF-R1.1-01M,4
International Union of Crystallography,FsF-R1.3-02D,4
International Union of Crystallography,FsF-R1-01MD,2
Springer Vienna,FsF-F3-01M,5
Springer Vienna,FsF-A1-03D,5
Springer Vienna,FsF-R1.1-01M,5
Springer Vienna,FsF-R1.3-02D,5
Springer Vienna,FsF-A1-01M,1
Elsevier,FsF-F3-01M,18
Elsevier,FsF-F4-01M,18
Elsevier,FsF-A1-01M,18
Elsevier,FsF-A1-03D,18
Elsevier,FsF-R1-01MD,18
Elsevier,FsF-R1.1-01M,18
Elsevier,FsF-R1.3-02D,18
F1000 Research Limited,FsF-F3-01M,2
F1000 Research Limited,FsF-A1-01M,2
F1000 Research Limited,FsF-A1-03D,2
F1000 Research Limited,FsF-R1.1-01M,2
F1000 Research Limited,FsF-R1.3-02D,2
F1000 Research Ltd,FsF-F3-01M,4
F1000 Research Ltd,FsF-A1-01M,4
F1000 Research Ltd,FsF-A1-03D,4
F1000 Research Ltd,FsF-R1.1-01M,4
F1000 Research Ltd,FsF-R1.3-02D,4
Taylor & Francis,FsF-A1-01M,15
Taylor & Francis,FsF-I1-01M,15
Taylor & Francis,FsF-R1.3-02D,9
figshare,FsF-A1-01M,19
figshare,FsF-I1-01M,13
figshare,FsF-R1.3-02D,9
figshare,FsF-F3-01M,6
figshare,FsF-A1-03D,6
figshare,FsF-I3-01M,6
figshare,FsF-R1.1-01M,6
Molecular Diversity Preservation International,FsF-F3-01M,11
Molecular Diversity Preservation International,FsF-A1-01M,11
Molecular Diversity Preservation International,FsF-A1-03D,11
Molecular Diversity Preservation International,FsF-R1.1-01M,11
Molecular Diversity Preservation International,FsF-R1.3-02D,11
Molecular Diversity Preservation International,FsF-I3-01M,2
"American Society for Microbiology1752 N St., N.W., Washington, DC",FsF-F3-01M,5
"American Society for Microbiology1752 N St., N.W., Washington, DC",FsF-A1-03D,5
"American Society for Microbiology1752 N St., N.W., Washington, DC",FsF-R1.1-01M,5
"American Society for Microbiology1752 N St., N.W., Washington, DC",FsF-R1.3-02D,5
mSphere,FsF-F3-01M,1
mSphere,FsF-A1-03D,1
mSphere,FsF-R1.1-01M,1
mSphere,FsF-R1.3-02D,1
American Chemical Society,FsF-F3-01M,5
American Chemical Society,FsF-A1-03D,5
American Chemical Society,FsF-R1.1-01M,5
American Chemical Society,FsF-R1.3-02D,5
